Namespace(batch_size=64, data_shape=416, dataset='coco', epochs=200, gpus='4,5', label_smooth=True, log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,180', lr_decay_period=0, lr_mode='step', mixup=False, momentum=0.9, no_mixup_epochs=20, no_random_shape=False, no_wd=False, num_samples=117266, num_workers=40, optimizer='sgd', resume='', save_interval=1, save_prefix='./results/1/yolo3_tiny_darknet_coco', seed=233, start_epoch=0, syncbn=True, warmup_epochs=2, warmup_lr=0.0, wd=0.0005)
Start training from [Epoch 0]
[E 10][B 99], LR: 1.00E-03, 181.7 S/s, O=27.972, BC=14.770, BS=6.766, C=47.403
[E 10][B 199], LR: 1.00E-03, 123.7 S/s, O=27.952, BC=14.769, BS=6.763, C=47.383
[E 10][B 299], LR: 1.00E-03, 85.0 S/s, O=27.932, BC=14.767, BS=6.760, C=47.363
[E 10][B 399], LR: 1.00E-03, 70.7 S/s, O=27.910, BC=14.766, BS=6.756, C=47.344
[E 10][B 499], LR: 1.00E-03, 144.1 S/s, O=27.887, BC=14.764, BS=6.753, C=47.323
[E 10][B 599], LR: 1.00E-03, 172.0 S/s, O=27.865, BC=14.763, BS=6.750, C=47.302
[E 10][B 699], LR: 1.00E-03, 78.0 S/s, O=27.846, BC=14.761, BS=6.746, C=47.282
[E 10][B 799], LR: 1.00E-03, 102.8 S/s, O=27.830, BC=14.759, BS=6.742, C=47.261
[E 10][B 899], LR: 1.00E-03, 132.0 S/s, O=27.812, BC=14.757, BS=6.738, C=47.239
[E 10][B 999], LR: 1.00E-03, 67.2 S/s, O=27.795, BC=14.757, BS=6.735, C=47.222
[E 10][B 1099], LR: 1.00E-03, 64.1 S/s, O=27.775, BC=14.755, BS=6.731, C=47.201
[E 10][B 1199], LR: 1.00E-03, 85.4 S/s, O=27.749, BC=14.751, BS=6.727, C=47.176
[E 10][B 1299], LR: 1.00E-03, 173.4 S/s, O=27.737, BC=14.751, BS=6.726, C=47.164
[E 10][B 1399], LR: 1.00E-03, 113.8 S/s, O=27.720, BC=14.749, BS=6.722, C=47.143
[E 10][B 1499], LR: 1.00E-03, 93.3 S/s, O=27.702, BC=14.747, BS=6.718, C=47.122
[E 10][B 1599], LR: 1.00E-03, 121.8 S/s, O=27.679, BC=14.745, BS=6.714, C=47.102
[E 10][B 1699], LR: 1.00E-03, 133.2 S/s, O=27.656, BC=14.742, BS=6.712, C=47.082
[E 10][B 1799], LR: 1.00E-03, 176.7 S/s, O=27.640, BC=14.742, BS=6.709, C=47.065
[E 10] 1299.8 sec, O=27.642, BC=14.743, BS=6.708, C=47.063
[E 11][B 99], LR: 1.00E-03, 96.6 S/s, O=27.629, BC=14.743, BS=6.705, C=47.048
[E 11][B 199], LR: 1.00E-03, 113.5 S/s, O=27.612, BC=14.743, BS=6.703, C=47.035
[E 11][B 299], LR: 1.00E-03, 66.2 S/s, O=27.595, BC=14.742, BS=6.700, C=47.018
[E 11][B 399], LR: 1.00E-03, 153.3 S/s, O=27.578, BC=14.742, BS=6.697, C=47.002
[E 11][B 499], LR: 1.00E-03, 175.6 S/s, O=27.565, BC=14.741, BS=6.693, C=46.986
[E 11][B 599], LR: 1.00E-03, 131.7 S/s, O=27.553, BC=14.741, BS=6.690, C=46.972
[E 11][B 699], LR: 1.00E-03, 82.2 S/s, O=27.537, BC=14.742, BS=6.688, C=46.959
[E 11][B 799], LR: 1.00E-03, 68.6 S/s, O=27.517, BC=14.740, BS=6.685, C=46.942
[E 11][B 899], LR: 1.00E-03, 118.2 S/s, O=27.495, BC=14.737, BS=6.683, C=46.921
[E 11][B 999], LR: 1.00E-03, 136.7 S/s, O=27.476, BC=14.735, BS=6.680, C=46.902
[E 11][B 1099], LR: 1.00E-03, 109.6 S/s, O=27.461, BC=14.735, BS=6.677, C=46.887
[E 11][B 1199], LR: 1.00E-03, 67.5 S/s, O=27.441, BC=14.733, BS=6.674, C=46.868
[E 11][B 1299], LR: 1.00E-03, 148.2 S/s, O=27.425, BC=14.732, BS=6.671, C=46.851
[E 11][B 1399], LR: 1.00E-03, 121.0 S/s, O=27.407, BC=14.730, BS=6.668, C=46.833
[E 11][B 1499], LR: 1.00E-03, 107.3 S/s, O=27.391, BC=14.730, BS=6.665, C=46.819
[E 11][B 1599], LR: 1.00E-03, 97.3 S/s, O=27.379, BC=14.730, BS=6.663, C=46.808
[E 11][B 1699], LR: 1.00E-03, 139.0 S/s, O=27.360, BC=14.728, BS=6.659, C=46.789
[E 11][B 1799], LR: 1.00E-03, 58.4 S/s, O=27.346, BC=14.727, BS=6.656, C=46.774
[E 11] 1344.6 sec, O=27.344, BC=14.728, BS=6.656, C=46.770
[E 12][B 99], LR: 1.00E-03, 87.6 S/s, O=27.326, BC=14.726, BS=6.653, C=46.754
[E 12][B 199], LR: 1.00E-03, 99.9 S/s, O=27.309, BC=14.725, BS=6.650, C=46.738
[E 12][B 299], LR: 1.00E-03, 63.5 S/s, O=27.292, BC=14.725, BS=6.648, C=46.725
[E 12][B 399], LR: 1.00E-03, 56.1 S/s, O=27.277, BC=14.724, BS=6.645, C=46.709
[E 12][B 499], LR: 1.00E-03, 93.1 S/s, O=27.265, BC=14.723, BS=6.642, C=46.695
[E 12][B 599], LR: 1.00E-03, 159.1 S/s, O=27.247, BC=14.722, BS=6.640, C=46.679
[E 12][B 699], LR: 1.00E-03, 148.3 S/s, O=27.232, BC=14.722, BS=6.638, C=46.666
[E 12][B 799], LR: 1.00E-03, 77.9 S/s, O=27.216, BC=14.720, BS=6.634, C=46.648
